filepath,student,facial_expression
images/KA.AN1.39.jpeg,KA,angry
images/KA.AN2.40.jpeg,KA,angry
images/KA.AN3.41.jpeg,KA,angry
images/KA.DI1.42.jpeg,KA,disgust
images/KA.DI2.43.jpeg,KA,disgust
images/KA.DI3.44.jpeg,KA,disgust
images/KA.FE1.45.jpeg,KA,fear
images/KA.FE2.46.jpeg,KA,fear
images/KA.FE3.47.jpeg,KA,fear
images/KA.FE4.48.jpeg,KA,fear
images/KA.HA1.29.jpeg,KA,happy
images/KA.HA2.30.jpeg,KA,happy
images/KA.HA3.31.jpeg,KA,happy
images/KA.HA4.32.jpeg,KA,happy
images/KA.NE1.26.jpeg,KA,neutral
images/KA.NE2.27.jpeg,KA,neutral
images/KA.NE3.28.jpeg,KA,neutral
images/KA.SA1.33.jpeg,KA,sad
images/KA.SA2.34.jpeg,KA,sad
images/KA.SA3.35.jpeg,KA,sad
images/KA.SU1.36.jpeg,KA,surprise
images/KA.SU2.37.jpeg,KA,surprise
images/KA.SU3.38.jpeg,KA,surprise
images/KL.AN1.167.jpeg,KL,angry
images/KL.AN2.168.jpeg,KL,angry
images/KL.AN3.169.jpeg,KL,angry
images/KL.DI1.170.jpeg,KL,disgust
images/KL.DI2.171.jpeg,KL,disgust
images/KL.DI3.172.jpeg,KL,disgust
images/KL.DI4.173.jpeg,KL,disgust
images/KL.FE1.174.jpeg,KL,fear
images/KL.FE2.175.jpeg,KL,fear
images/KL.FE3.176.jpeg,KL,fear
images/KL.HA1.158.jpeg,KL,happy
images/KL.HA2.159.jpeg,KL,happy
images/KL.HA3.160.jpeg,KL,happy
images/KL.NE1.155.jpeg,KL,neutral
images/KL.NE2.156.jpeg,KL,neutral
images/KL.NE3.157.jpeg,KL,neutral
images/KL.SA1.161.jpeg,KL,sad
images/KL.SA2.162.jpeg,KL,sad
images/KL.SA3.163.jpeg,KL,sad
images/KL.SU1.164.jpeg,KL,surprise
images/KL.SU2.165.jpeg,KL,surprise
images/KL.SU3.166.jpeg,KL,surprise
images/KM.AN1.17.jpeg,KM,angry
images/KM.AN2.18.jpeg,KM,angry
images/KM.AN3.19.jpeg,KM,angry
images/KM.DI1.20.jpeg,KM,disgust
images/KM.DI3.22.jpeg,KM,disgust
images/KM.FE1.23.jpeg,KM,fear
images/KM.FE2.24.jpeg,KM,fear
images/KM.FE3.25.jpeg,KM,fear
images/KM.HA1.4.jpeg,KM,happy
images/KM.HA2.5.jpeg,KM,happy
images/KM.HA3.6.jpeg,KM,happy
images/KM.HA4.7.jpeg,KM,happy
images/KM.NE1.1.jpeg,KM,neutral
images/KM.NE2.2.jpeg,KM,neutral
images/KM.NE3.3.jpeg,KM,neutral
images/KM.SA1.9.jpeg,KM,sad
images/KM.SA2.10.jpeg,KM,sad
images/KM.SA3.11.jpeg,KM,sad
images/KM.SA5.13.jpeg,KM,sad
images/KM.SU1.14.jpeg,KM,surprise
images/KM.SU2.15.jpeg,KM,surprise
images/KM.SU3.16.jpeg,KM,surprise
images/KR.AN1.83.jpeg,KR,angry
images/KR.AN2.84.jpeg,KR,angry
images/KR.AN3.85.jpeg,KR,angry
images/KR.DI1.86.jpeg,KR,disgust
images/KR.DI2.87.jpeg,KR,disgust
images/KR.DI3.88.jpeg,KR,disgust
images/KR.FE1.89.jpeg,KR,fear
images/KR.FE2.90.jpeg,KR,fear
images/KR.FE3.91.jpeg,KR,fear
images/KR.HA1.74.jpeg,KR,happy
images/KR.HA2.75.jpeg,KR,happy
images/KR.NE1.71.jpeg,KR,neutral
images/KR.NE2.72.jpeg,KR,neutral
images/KR.NE3.73.jpeg,KR,neutral
images/KR.SA1.77.jpeg,KR,sad
images/KR.SA2.78.jpeg,KR,sad
images/KR.SA3.79.jpeg,KR,sad
images/KR.SU1.80.jpeg,KR,surprise
images/KR.SU2.81.jpeg,KR,surprise
images/KR.SU3.82.jpeg,KR,surprise
images/MK.AN1.125.jpeg,MK,angry
images/MK.AN2.126.jpeg,MK,angry
images/MK.AN3.127.jpeg,MK,angry
images/MK.DI1.128.jpeg,MK,disgust
images/MK.DI2.129.jpeg,MK,disgust
images/MK.DI3.130.jpeg,MK,disgust
images/MK.FE1.131.jpeg,MK,fear
images/MK.FE2.132.jpeg,MK,fear
images/MK.FE3.133.jpeg,MK,fear
images/MK.HA1.116.jpeg,MK,happy
images/MK.HA2.117.jpeg,MK,happy
images/MK.HA3.118.jpeg,MK,happy
images/MK.NE1.113.jpeg,MK,neutral
images/MK.NE2.114.jpeg,MK,neutral
images/MK.NE3.115.jpeg,MK,neutral
images/MK.SA1.119.jpeg,MK,sad
images/MK.SA2.120.jpeg,MK,sad
images/MK.SA3.121.jpeg,MK,sad
images/MK.SU1.122.jpeg,MK,surprise
images/MK.SU2.123.jpeg,MK,surprise
images/MK.SU3.124.jpeg,MK,surprise
images/NA.AN1.211.jpeg,NA,angry
images/NA.AN2.212.jpeg,NA,angry
images/NA.AN3.213.jpeg,NA,angry
images/NA.DI1.214.jpeg,NA,disgust
images/NA.DI2.215.jpeg,NA,disgust
images/NA.DI3.216.jpeg,NA,disgust
images/NA.FE1.217.jpeg,NA,fear
images/NA.FE2.218.jpeg,NA,fear
images/NA.FE3.219.jpeg,NA,fear
images/NA.HA1.202.jpeg,NA,happy
images/NA.HA2.203.jpeg,NA,happy
images/NA.HA3.204.jpeg,NA,happy
images/NA.NE1.199.jpeg,NA,neutral
images/NA.NE2.200.jpeg,NA,neutral
images/NA.NE3.201.jpeg,NA,neutral
images/NA.SA1.205.jpeg,NA,sad
images/NA.SA2.206.jpeg,NA,sad
images/NA.SA3.207.jpeg,NA,sad
images/NA.SU1.208.jpeg,NA,surprise
images/NA.SU2.209.jpeg,NA,surprise
images/NA.SU3.210.jpeg,NA,surprise
images/NM.AN1.104.jpeg,NM,angry
images/NM.AN2.105.jpeg,NM,angry
images/NM.AN3.106.jpeg,NM,angry
images/NM.DI1.107.jpeg,NM,disgust
images/NM.DI3.109.jpeg,NM,disgust
images/NM.FE1.110.jpeg,NM,fear
images/NM.FE2.111.jpeg,NM,fear
images/NM.FE3.112.jpeg,NM,fear
images/NM.HA1.95.jpeg,NM,happy
images/NM.HA2.96.jpeg,NM,happy
images/NM.HA3.97.jpeg,NM,happy
images/NM.NE1.92.jpeg,NM,neutral
images/NM.NE2.93.jpeg,NM,neutral
images/NM.NE3.94.jpeg,NM,neutral
images/NM.SA1.98.jpeg,NM,sad
images/NM.SA2.99.jpeg,NM,sad
images/NM.SA3.100.jpeg,NM,sad
images/NM.SU1.101.jpeg,NM,surprise
images/NM.SU2.102.jpeg,NM,surprise
images/NM.SU3.103.jpeg,NM,surprise
images/TM.AN1.190.jpeg,TM,angry
images/TM.AN2.191.jpeg,TM,angry
images/TM.AN3.192.jpeg,TM,angry
images/TM.DI1.193.jpeg,TM,disgust
images/TM.DI2.194.jpeg,TM,disgust
images/TM.DI3.195.jpeg,TM,disgust
images/TM.FE1.196.jpeg,TM,fear
images/TM.FE2.197.jpeg,TM,fear
images/TM.FE3.198.jpeg,TM,fear
images/TM.HA1.180.jpeg,TM,happy
images/TM.HA2.181.jpeg,TM,happy
images/TM.HA3.182.jpeg,TM,happy
images/TM.NE1.177.jpeg,TM,neutral
images/TM.NE2.178.jpeg,TM,neutral
images/TM.NE3.179.jpeg,TM,neutral
images/TM.SA1.184.jpeg,TM,sad
images/TM.SA2.185.jpeg,TM,sad
images/TM.SA3.186.jpeg,TM,sad
images/TM.SU1.187.jpeg,TM,surprise
images/TM.SU2.188.jpeg,TM,surprise
images/TM.SU3.189.jpeg,TM,surprise
images/UY.AN1.146.jpeg,UY,angry
images/UY.AN2.147.jpeg,UY,angry
images/UY.AN3.148.jpeg,UY,angry
images/UY.DI1.149.jpeg,UY,disgust
images/UY.DI2.150.jpeg,UY,disgust
images/UY.DI3.151.jpeg,UY,disgust
images/UY.FE1.152.jpeg,UY,fear
images/UY.FE2.153.jpeg,UY,fear
images/UY.FE3.154.jpeg,UY,fear
images/UY.HA1.137.jpeg,UY,happy
images/UY.HA2.138.jpeg,UY,happy
images/UY.HA3.139.jpeg,UY,happy
images/UY.NE1.134.jpeg,UY,neutral
images/UY.NE2.135.jpeg,UY,neutral
images/UY.NE3.136.jpeg,UY,neutral
images/UY.SA1.140.jpeg,UY,sad
images/UY.SA2.141.jpeg,UY,sad
images/UY.SA3.142.jpeg,UY,sad
images/UY.SU1.143.jpeg,UY,surprise
images/UY.SU2.144.jpeg,UY,surprise
images/UY.SU3.145.jpeg,UY,surprise
images/YM.AN1.61.jpeg,YM,angry
images/YM.AN2.62.jpeg,YM,angry
images/YM.AN3.63.jpeg,YM,angry
images/YM.DI1.64.jpeg,YM,disgust
images/YM.DI2.65.jpeg,YM,disgust
images/YM.DI3.66.jpeg,YM,disgust
images/YM.FE1.67.jpeg,YM,fear
images/YM.FE2.68.jpeg,YM,fear
images/YM.FE3.69.jpeg,YM,fear
images/YM.FE4.70.jpeg,YM,fear
images/YM.HA1.52.jpeg,YM,happy
images/YM.HA2.53.jpeg,YM,happy
images/YM.HA3.54.jpeg,YM,happy
images/YM.NE1.49.jpeg,YM,neutral
images/YM.NE2.50.jpeg,YM,neutral
images/YM.NE3.51.jpeg,YM,neutral
images/YM.SA1.55.jpeg,YM,sad
images/YM.SA2.56.jpeg,YM,sad
images/YM.SA3.57.jpeg,YM,sad
images/YM.SU1.58.jpeg,YM,surprise
images/YM.SU2.59.jpeg,YM,surprise
images/YM.SU3.60.jpeg,YM,surprise
